respID,qID,altID,obsID,profileID,price,trip_time,wait_time,shared_ride,human_present
1,1,1,1,66,7,20,7,yes,no
1,1,2,1,80,5,30,9,yes,no
1,1,3,1,103,3,25,9,no,no
1,1,4,1,23,5,25,9,yes,yes
1,1,5,1,60,7,25,5,yes,no
1,2,1,2,87,7,25,5,no,no
1,2,2,2,7,3,30,5,yes,yes
1,2,3,2,82,3,20,5,no,no
1,2,4,2,27,7,30,9,yes,yes
1,2,5,2,60,7,25,5,yes,no
1,3,1,3,17,5,30,7,yes,yes
1,3,2,3,66,7,20,7,yes,no
1,3,3,3,61,3,30,5,yes,no
1,3,4,3,101,5,20,9,no,no
1,3,5,3,1,3,20,5,yes,yes
1,4,1,4,97,3,30,7,no,no
1,4,2,4,53,5,30,9,no,yes
1,4,3,4,82,3,20,5,no,no
1,4,4,4,88,3,30,5,no,no
1,4,5,4,37,3,20,7,no,yes
1,5,1,5,59,5,25,5,yes,no
1,5,2,5,7,3,30,5,yes,yes
1,5,3,5,3,7,20,5,yes,yes
1,5,4,5,12,7,20,7,yes,yes
1,5,5,5,54,7,30,9,no,yes
1,6,1,6,80,5,30,9,yes,no
1,6,2,6,32,5,25,5,no,yes
1,6,3,6,28,3,20,5,no,yes
1,6,4,6,52,3,30,9,no,yes
1,6,5,6,17,5,30,7,yes,yes
1,7,1,7,37,3,20,7,no,yes
1,7,2,7,10,3,20,7,yes,yes
1,7,3,7,102,7,20,9,no,no
1,7,4,7,50,5,25,9,no,yes
1,7,5,7,38,5,20,7,no,yes
1,8,1,8,51,7,25,9,no,yes
1,8,2,8,45,7,30,7,no,yes
1,8,3,8,87,7,25,5,no,no
1,8,4,8,7,3,30,5,yes,yes
1,8,5,8,88,3,30,5,no,no
2,1,1,9,16,3,30,7,yes,yes
2,1,2,9,86,5,25,5,no,no
2,1,3,9,7,3,30,5,yes,yes
2,1,4,9,28,3,20,5,no,yes
2,1,5,9,71,5,30,7,yes,no
2,2,1,10,61,3,30,5,yes,no
2,2,2,10,35,5,30,5,no,yes
2,2,3,10,19,3,20,9,yes,yes
2,2,4,10,103,3,25,9,no,no
2,2,5,10,53,5,30,9,no,yes
2,3,1,11,66,7,20,7,yes,no
2,3,2,11,102,7,20,9,no,no
2,3,3,11,19,3,20,9,yes,yes
2,3,4,11,100,3,20,9,no,no
2,3,5,11,92,5,20,7,no,no
2,4,1,12,107,5,30,9,no,no
2,4,2,12,17,5,30,7,yes,yes
2,4,3,12,89,5,30,5,no,no
2,4,4,12,35,5,30,5,no,yes
2,4,5,12,103,3,25,9,no,no
2,5,1,13,50,5,25,9,no,yes
2,5,2,13,102,7,20,9,no,no
2,5,3,13,81,7,30,9,yes,no
2,5,4,13,4,3,25,5,yes,yes
2,5,5,13,67,3,25,7,yes,no
2,6,1,14,77,5,25,9,yes,no
2,6,2,14,27,7,30,9,yes,yes
2,6,3,14,14,5,25,7,yes,yes
2,6,4,14,101,5,20,9,no,no
2,6,5,14,52,3,30,9,no,yes
2,7,1,15,101,5,20,9,no,no
2,7,2,15,55,3,20,5,yes,no
2,7,3,15,98,5,30,7,no,no
2,7,4,15,39,7,20,7,no,yes
2,7,5,15,61,3,30,5,yes,no
2,8,1,16,16,3,30,7,yes,yes
2,8,2,16,64,3,20,7,yes,no
2,8,3,16,21,7,20,9,yes,yes
2,8,4,16,84,7,20,5,no,no
2,8,5,16,89,5,30,5,no,no
3,1,1,17,35,5,30,5,no,yes
3,1,2,17,100,3,20,9,no,no
3,1,3,17,24,7,25,9,yes,yes
3,1,4,17,55,3,20,5,yes,no
3,1,5,17,12,7,20,7,yes,yes
3,2,1,18,108,7,30,9,no,no
3,2,2,18,82,3,20,5,no,no
3,2,3,18,73,3,20,9,yes,no
3,2,4,18,79,3,30,9,yes,no
3,2,5,18,55,3,20,5,yes,no
3,3,1,19,75,7,20,9,yes,no
3,3,2,19,54,7,30,9,no,yes
3,3,3,19,106,3,30,9,no,no
3,3,4,19,64,3,20,7,yes,no
3,3,5,19,87,7,25,5,no,no
3,4,1,20,47,5,20,9,no,yes
3,4,2,20,1,3,20,5,yes,yes
3,4,3,20,69,7,25,7,yes,no
3,4,4,20,37,3,20,7,no,yes
3,4,5,20,68,5,25,7,yes,no
3,5,1,21,98,5,30,7,no,no
3,5,2,21,9,7,30,5,yes,yes
3,5,3,21,79,3,30,9,yes,no
3,5,4,21,10,3,20,7,yes,yes
3,5,5,21,26,5,30,9,yes,yes
3,6,1,22,68,5,25,7,yes,no
3,6,2,22,107,5,30,9,no,no
3,6,3,22,72,7,30,7,yes,no
3,6,4,22,20,5,20,9,yes,yes
3,6,5,22,15,7,25,7,yes,yes
3,7,1,23,36,7,30,5,no,yes
3,7,2,23,31,3,25,5,no,yes
3,7,3,23,6,7,25,5,yes,yes
3,7,4,23,60,7,25,5,yes,no
3,7,5,23,72,7,30,7,yes,no
3,8,1,24,81,7,30,9,yes,no
3,8,2,24,84,7,20,5,no,no
3,8,3,24,44,5,30,7,no,yes
3,8,4,24,108,7,30,9,no,no
3,8,5,24,15,7,25,7,yes,yes
4,1,1,25,69,7,25,7,yes,no
4,1,2,25,78,7,25,9,yes,no
4,1,3,25,70,3,30,7,yes,no
4,1,4,25,63,7,30,5,yes,no
4,1,5,25,83,5,20,5,no,no
4,2,1,26,108,7,30,9,no,no
4,2,2,26,28,3,20,5,no,yes
4,2,3,26,49,3,25,9,no,yes
4,2,4,26,17,5,30,7,yes,yes
4,2,5,26,37,3,20,7,no,yes
4,3,1,27,94,3,25,7,no,no
4,3,2,27,107,5,30,9,no,no
4,3,3,27,55,3,20,5,yes,no
4,3,4,27,9,7,30,5,yes,yes
4,3,5,27,28,3,20,5,no,yes
4,4,1,28,60,7,25,5,yes,no
4,4,2,28,32,5,25,5,no,yes
4,4,3,28,84,7,20,5,no,no
4,4,4,28,7,3,30,5,yes,yes
4,4,5,28,103,3,25,9,no,no
4,5,1,29,40,3,25,7,no,yes
4,5,2,29,52,3,30,9,no,yes
4,5,3,29,14,5,25,7,yes,yes
4,5,4,29,99,7,30,7,no,no
4,5,5,29,76,3,25,9,yes,no
4,6,1,30,9,7,30,5,yes,yes
4,6,2,30,71,5,30,7,yes,no
4,6,3,30,56,5,20,5,yes,no
4,6,4,30,94,3,25,7,no,no
4,6,5,30,87,7,25,5,no,no
4,7,1,31,76,3,25,9,yes,no
4,7,2,31,89,5,30,5,no,no
4,7,3,31,94,3,25,7,no,no
4,7,4,31,45,7,30,7,no,yes
4,7,5,31,33,7,25,5,no,yes
4,8,1,32,67,3,25,7,yes,no
4,8,2,32,47,5,20,9,no,yes
4,8,3,32,40,3,25,7,no,yes
4,8,4,32,84,7,20,5,no,no
4,8,5,32,2,5,20,5,yes,yes
5,1,1,33,94,3,25,7,no,no
5,1,2,33,62,5,30,5,yes,no
5,1,3,33,16,3,30,7,yes,yes
5,1,4,33,77,5,25,9,yes,no
5,1,5,33,4,3,25,5,yes,yes
5,2,1,34,91,3,20,7,no,no
5,2,2,34,1,3,20,5,yes,yes
5,2,3,34,81,7,30,9,yes,no
5,2,4,34,75,7,20,9,yes,no
5,2,5,34,58,3,25,5,yes,no
5,3,1,35,103,3,25,9,no,no
5,3,2,35,59,5,25,5,yes,no
5,3,3,35,13,3,25,7,yes,yes
5,3,4,35,40,3,25,7,no,yes
5,3,5,35,64,3,20,7,yes,no
5,4,1,36,84,7,20,5,no,no
5,4,2,36,74,5,20,9,yes,no
5,4,3,36,97,3,30,7,no,no
5,4,4,36,35,5,30,5,no,yes
5,4,5,36,58,3,25,5,yes,no
5,5,1,37,61,3,30,5,yes,no
5,5,2,37,59,5,25,5,yes,no
5,5,3,37,108,7,30,9,no,no
5,5,4,37,106,3,30,9,no,no
5,5,5,37,53,5,30,9,no,yes
5,6,1,38,36,7,30,5,no,yes
5,6,2,38,72,7,30,7,yes,no
5,6,3,38,60,7,25,5,yes,no
5,6,4,38,76,3,25,9,yes,no
5,6,5,38,19,3,20,9,yes,yes
5,7,1,39,90,7,30,5,no,no
5,7,2,39,97,3,30,7,no,no
5,7,3,39,13,3,25,7,yes,yes
5,7,4,39,48,7,20,9,no,yes
5,7,5,39,57,7,20,5,yes,no
5,8,1,40,54,7,30,9,no,yes
5,8,2,40,103,3,25,9,no,no
5,8,3,40,26,5,30,9,yes,yes
5,8,4,40,32,5,25,5,no,yes
5,8,5,40,42,7,25,7,no,yes
6,1,1,41,5,5,25,5,yes,yes
6,1,2,41,59,5,25,5,yes,no
6,1,3,41,58,3,25,5,yes,no
6,1,4,41,28,3,20,5,no,yes
6,1,5,41,2,5,20,5,yes,yes
6,2,1,42,83,5,20,5,no,no
6,2,2,42,25,3,30,9,yes,yes
6,2,3,42,53,5,30,9,no,yes
6,2,4,42,67,3,25,7,yes,no
6,2,5,42,55,3,20,5,yes,no
6,3,1,43,71,5,30,7,yes,no
6,3,2,43,51,7,25,9,no,yes
6,3,3,43,1,3,20,5,yes,yes
6,3,4,43,61,3,30,5,yes,no
6,3,5,43,65,5,20,7,yes,no
6,4,1,44,91,3,20,7,no,no
6,4,2,44,80,5,30,9,yes,no
6,4,3,44,46,3,20,9,no,yes
6,4,4,44,45,7,30,7,no,yes
6,4,5,44,29,5,20,5,no,yes
6,5,1,45,12,7,20,7,yes,yes
6,5,2,45,8,5,30,5,yes,yes
6,5,3,45,51,7,25,9,no,yes
6,5,4,45,22,3,25,9,yes,yes
6,5,5,45,75,7,20,9,yes,no
6,6,1,46,24,7,25,9,yes,yes
6,6,2,46,55,3,20,5,yes,no
6,6,3,46,39,7,20,7,no,yes
6,6,4,46,5,5,25,5,yes,yes
6,6,5,46,83,5,20,5,no,no
6,7,1,47,59,5,25,5,yes,no
6,7,2,47,46,3,20,9,no,yes
6,7,3,47,71,5,30,7,yes,no
6,7,4,47,68,5,25,7,yes,no
6,7,5,47,77,5,25,9,yes,no
6,8,1,48,45,7,30,7,no,yes
6,8,2,48,10,3,20,7,yes,yes
6,8,3,48,62,5,30,5,yes,no
6,8,4,48,77,5,25,9,yes,no
6,8,5,48,47,5,20,9,no,yes
7,1,1,49,39,7,20,7,no,yes
7,1,2,49,50,5,25,9,no,yes
7,1,3,49,34,3,30,5,no,yes
7,1,4,49,14,5,25,7,yes,yes
7,1,5,49,41,5,25,7,no,yes
7,2,1,50,62,5,30,5,yes,no
7,2,2,50,87,7,25,5,no,no
7,2,3,50,12,7,20,7,yes,yes
7,2,4,50,51,7,25,9,no,yes
7,2,5,50,95,5,25,7,no,no
7,3,1,51,77,5,25,9,yes,no
7,3,2,51,47,5,20,9,no,yes
7,3,3,51,75,7,20,9,yes,no
7,3,4,51,61,3,30,5,yes,no
7,3,5,51,65,5,20,7,yes,no
7,4,1,52,77,5,25,9,yes,no
7,4,2,52,104,5,25,9,no,no
7,4,3,52,85,3,25,5,no,no
7,4,4,52,97,3,30,7,no,no
7,4,5,52,99,7,30,7,no,no
7,5,1,53,16,3,30,7,yes,yes
7,5,2,53,98,5,30,7,no,no
7,5,3,53,37,3,20,7,no,yes
7,5,4,53,38,5,20,7,no,yes
7,5,5,53,95,5,25,7,no,no
7,6,1,54,37,3,20,7,no,yes
7,6,2,54,57,7,20,5,yes,no
7,6,3,54,44,5,30,7,no,yes
7,6,4,54,85,3,25,5,no,no
7,6,5,54,41,5,25,7,no,yes
7,7,1,55,61,3,30,5,yes,no
7,7,2,55,49,3,25,9,no,yes
7,7,3,55,1,3,20,5,yes,yes
7,7,4,55,97,3,30,7,no,no
7,7,5,55,15,7,25,7,yes,yes
7,8,1,56,2,5,20,5,yes,yes
7,8,2,56,31,3,25,5,no,yes
7,8,3,56,100,3,20,9,no,no
7,8,4,56,88,3,30,5,no,no
7,8,5,56,22,3,25,9,yes,yes
8,1,1,57,45,7,30,7,no,yes
8,1,2,57,102,7,20,9,no,no
8,1,3,57,38,5,20,7,no,yes
8,1,4,57,25,3,30,9,yes,yes
8,1,5,57,96,7,25,7,no,no
8,2,1,58,85,3,25,5,no,no
8,2,2,58,36,7,30,5,no,yes
8,2,3,58,106,3,30,9,no,no
8,2,4,58,7,3,30,5,yes,yes
8,2,5,58,56,5,20,5,yes,no
8,3,1,59,107,5,30,9,no,no
8,3,2,59,5,5,25,5,yes,yes
8,3,3,59,66,7,20,7,yes,no
8,3,4,59,11,5,20,7,yes,yes
8,3,5,59,104,5,25,9,no,no
8,4,1,60,53,5,30,9,no,yes
8,4,2,60,47,5,20,9,no,yes
8,4,3,60,10,3,20,7,yes,yes
8,4,4,60,41,5,25,7,no,yes
8,4,5,60,97,3,30,7,no,no
8,5,1,61,52,3,30,9,no,yes
8,5,2,61,25,3,30,9,yes,yes
8,5,3,61,16,3,30,7,yes,yes
8,5,4,61,82,3,20,5,no,no
8,5,5,61,49,3,25,9,no,yes
8,6,1,62,57,7,20,5,yes,no
8,6,2,62,94,3,25,7,no,no
8,6,3,62,68,5,25,7,yes,no
8,6,4,62,34,3,30,5,no,yes
